team_name,ft_pct,season,source_updated_at
St Bonaventure,74.7,2025-2026,2026-03-17T00:00:00.000Z
Richmond,74.7,2025-2026,2026-03-17T00:00:00.000Z
BYU,74.6,2025-2026,2026-03-17T00:00:00.000Z
Oklahoma,74.5,2025-2026,2026-03-17T00:00:00.000Z
Washington St,74.5,2025-2026,2026-03-17T00:00:00.000Z
Wright St,74.5,2025-2026,2026-03-17T00:00:00.000Z
Saint Louis,74.4,2025-2026,2026-03-17T00:00:00.000Z
W Michigan,74.4,2025-2026,2026-03-17T00:00:00.000Z
E Illinois,74.4,2025-2026,2026-03-17T00:00:00.000Z
Kent St,74.4,2025-2026,2026-03-17T00:00:00.000Z
Auburn,74.4,2025-2026,2026-03-17T00:00:00.000Z
Georgia So,74.3,2025-2026,2026-03-17T00:00:00.000Z
S Florida,74.3,2025-2026,2026-03-17T00:00:00.000Z
Morgan St,74.3,2025-2026,2026-03-17T00:00:00.000Z
New Orleans,74.3,2025-2026,2026-03-17T00:00:00.000Z
Purdue,74.3,2025-2026,2026-03-17T00:00:00.000Z
Virginia Tech,74.3,2025-2026,2026-03-17T00:00:00.000Z
E Washington,74.3,2025-2026,2026-03-17T00:00:00.000Z
High Point,74.2,2025-2026,2026-03-17T00:00:00.000Z
Howard,74.2,2025-2026,2026-03-17T00:00:00.000Z
Dartmouth,74.2,2025-2026,2026-03-17T00:00:00.000Z
UC Riverside,74.2,2025-2026,2026-03-17T00:00:00.000Z
Tarleton St,74.2,2025-2026,2026-03-17T00:00:00.000Z
South Dakota,74.2,2025-2026,2026-03-17T00:00:00.000Z
SMU,74.1,2025-2026,2026-03-17T00:00:00.000Z
Morehead St,74.1,2025-2026,2026-03-17T00:00:00.000Z
Saint Joseph's,74.1,2025-2026,2026-03-17T00:00:00.000Z
Rutgers,74.1,2025-2026,2026-03-17T00:00:00.000Z
Bradley,74.1,2025-2026,2026-03-17T00:00:00.000Z
Idaho St,74.1,2025-2026,2026-03-17T00:00:00.000Z
Mercyhurst,74.1,2025-2026,2026-03-17T00:00:00.000Z
McNeese,74.0,2025-2026,2026-03-17T00:00:00.000Z
Portland,74.0,2025-2026,2026-03-17T00:00:00.000Z
Montana St,74.0,2025-2026,2026-03-17T00:00:00.000Z
Georgetown,74.0,2025-2026,2026-03-17T00:00:00.000Z
NW State,74.0,2025-2026,2026-03-17T00:00:00.000Z
Oral Roberts,74.0,2025-2026,2026-03-17T00:00:00.000Z
Longwood,74.0,2025-2026,2026-03-17T00:00:00.000Z
Cornell,74.0,2025-2026,2026-03-17T00:00:00.000Z
UCF,74.0,2025-2026,2026-03-17T00:00:00.000Z
Santa Clara,74.0,2025-2026,2026-03-17T00:00:00.000Z
VCU,73.9,2025-2026,2026-03-17T00:00:00.000Z
NC Central,73.8,2025-2026,2026-03-17T00:00:00.000Z
Hawai'i,73.8,2025-2026,2026-03-17T00:00:00.000Z
San Jose St,73.8,2025-2026,2026-03-17T00:00:00.000Z
Alabama A&M,73.8,2025-2026,2026-03-17T00:00:00.000Z
CS Bakersfield,73.8,2025-2026,2026-03-17T00:00:00.000Z
Troy,73.8,2025-2026,2026-03-17T00:00:00.000Z
Utah,73.8,2025-2026,2026-03-17T00:00:00.000Z
Navy,73.7,2025-2026,2026-03-17T00:00:00.000Z
